#time,accel_x,accel_y,accel_z
419.375250,3404.947333,-1036.288319,-73238.729609
419.377797,2220.617826,-148.041188,-72932.291410
419.380345,2072.576638,-296.082377,-73085.510509
419.382892,2664.741391,-592.164754,-73545.167808
419.385439,3108.864956,-8586.388927,-73391.948708
419.387987,1332.370696,-2960.823768,-73391.948708
419.390534,5329.482782,-2960.823768,-71859.757712
419.393081,3404.947333,-7846.182985,-72779.072310
419.395628,2664.741391,2664.741391,-73391.948708
419.398176,7698.141797,-9030.512492,-72779.072310
419.400723,7994.224174,1628.453072,-73238.729609
419.403270,7846.182985,-4589.276840,-73238.729609
419.405817,9474.636058,-4145.153275,-73238.729609
419.408365,2072.576638,-1776.494261,-72932.291410
419.410912,3108.864956,-9326.594869,-72012.976812
419.413459,1480.411884,444.123565,-73545.167808
419.416007,6365.771101,-2960.823768,-74004.825107
419.418554,7105.977043,-2516.700203,-74158.044206
419.421101,1332.370696,5329.482782,-73391.948708
419.423648,-1776.494261,3256.906145,-72625.853210
419.426196,-2664.741391,1480.411884,-72472.634111
419.428743,-3849.070898,7994.224174,-73085.510509
419.431290,-1480.411884,-1924.535449,-73851.606007
419.433837,1184.329507,2072.576638,-74158.044206
419.436385,1184.329507,3108.864956,-73698.386908
419.438932,4293.194464,-1332.370696,-73238.729609
419.441479,1776.494261,-444.123565,-72319.415011
419.444027,1184.329507,3849.070898,-72319.415011
419.446574,-444.123565,-2368.659014,-74004.825107
419.449121,1480.411884,-5181.441594,-73085.510509
419.451668,-2368.659014,7402.059420,-72472.634111
419.454221,4293.194464,2368.659014,-73851.606007
419.456774,1332.370696,740.205942,-75077.358804
419.459327,2960.823768,7254.018232,-74617.701505
419.461880,2516.700203,-4737.318029,-72932.291410
419.464433,-2368.659014,5477.523971,-73085.510509
419.466985,-1924.535449,6069.688724,-73085.510509
419.469538,-592.164754,-3404.947333,-73238.729609
419.472091,-2368.659014,2960.823768,-72932.291410
419.474644,2664.741391,1776.494261,-73238.729609
419.477197,2220.617826,3404.947333,-73698.386908
419.479750,1924.535449,2516.700203,-73085.510509
419.482302,888.247130,4589.276840,-73085.510509
419.484855,-444.123565,-296.082377,-73085.510509
419.487408,-296.082377,740.205942,-73085.510509
419.489961,-1036.288319,2516.700203,-71859.757712
419.492514,-2220.617826,1184.329507,-72779.072310
419.495067,4589.276840,-2220.617826,-73391.948708
419.497620,5921.647536,1776.494261,-74158.044206
419.500172,3256.906145,4293.194464,-73391.948708
419.502725,2664.741391,-3108.864956,-73085.510509
419.505278,1332.370696,-3849.070898,-73545.167808
419.507831,-296.082377,3552.988522,-73238.729609
419.510384,3997.112087,-13619.789333,-72932.291410
419.512937,5033.400406,-2516.700203,-72166.195912
419.515489,8142.265362,-2664.741391,-73238.729609
419.518042,6957.935855,-2072.576638,-74004.825107
419.520595,5033.400406,1776.494261,-73085.510509
419.523148,6365.771101,-3108.864956,-73391.948708
419.525701,1924.535449,-3997.112087,-73085.510509
419.528254,2664.741391,-2664.741391,-73545.167808
419.530806,7550.100608,-6957.935855,-72625.853210
419.533359,5477.523971,0.000000,-72932.291410
419.535912,3701.029710,-6069.688724,-73238.729609
419.538465,2072.576638,3108.864956,-73851.606007
419.541018,7105.977043,-3997.112087,-73238.729609
419.543571,7105.977043,-6365.771101,-72012.976812
419.546123,1332.370696,-296.082377,-73851.606007
419.548676,1036.288319,1628.453072,-72932.291410
419.551229,4145.153275,296.082377,-73085.510509
419.553782,1332.370696,-6365.771101,-73545.167808
419.556340,1628.453072,12435.459826,-74464.482406
419.558897,5329.482782,-11251.130318,-74464.482406
419.561455,2664.741391,-4441.235652,-72779.072310
419.564013,5477.523971,5033.400406,-71553.319513
419.566570,9326.594869,-7846.182985,-72625.853210
419.569128,6809.894666,-1332.370696,-72472.634111
419.571686,5773.606348,-3701.029710,-73238.729609
419.574243,5181.441594,-4293.194464,-73238.729609
419.576801,4145.153275,-888.247130,-72779.072310
419.579358,6217.729913,-4441.235652,-72779.072310
419.581916,4589.276840,-2368.659014,-73238.729609
419.584474,5329.482782,-740.205942,-73698.386908
419.587031,2220.617826,-1924.535449,-74004.825107
419.589589,3256.906145,-1184.329507,-73545.167808
419.592147,2960.823768,-4885.359217,-72932.291410
419.594704,5625.565159,-7550.100608,-73085.510509
419.597262,5625.565159,-3552.988522,-72779.072310
419.599820,2220.617826,-1184.329507,-72625.853210
419.602377,5921.647536,4737.318029,-72932.291410
419.604935,-148.041188,6809.894666,-72779.072310
419.607492,-2220.617826,6513.812290,-73698.386908
419.610050,-1036.288319,-10807.006753,-74004.825107
419.612608,1628.453072,13767.830521,-73391.948708
419.615165,1332.370696,-9326.594869,-74617.701505
419.617723,-444.123565,3849.070898,-72779.072310
419.620281,4145.153275,1036.288319,-72012.976812
419.622838,740.205942,1036.288319,-72625.853210
419.625396,740.205942,3108.864956,-72319.415011
419.627954,1924.535449,888.247130,-73238.729609
419.630511,-2072.576638,1628.453072,-72625.853210
419.633069,-1480.411884,1332.370696,-73085.510509
419.635627,1480.411884,2664.741391,-73698.386908
419.638184,2812.782580,-2664.741391,-73851.606007
419.640742,1776.494261,1332.370696,-73545.167808
419.643299,2664.741391,4737.318029,-72472.634111
419.645857,4737.318029,-2368.659014,-72319.415011
419.648415,148.041188,-2812.782580,-71859.757712
419.650972,2368.659014,5181.441594,-72472.634111
419.653530,1924.535449,-13323.706956,-72166.195912
419.656088,2368.659014,11991.336260,-73085.510509
419.658620,4885.359217,-3997.112087,-74924.139704
419.661153,1924.535449,296.082377,-73238.729609
419.663686,-4441.235652,9770.718434,-73238.729609
419.666218,-1628.453072,444.123565,-73238.729609
419.668751,-1776.494261,-888.247130,-72319.415011
