#time,accel_x,accel_y,accel_z
290.215347,2812.782580,-888.247130,-72779.072310
290.217970,3108.864956,-1184.329507,-72625.853210
290.220594,2960.823768,-740.205942,-72625.853210
290.223218,3108.864956,-592.164754,-73085.510509
290.225841,2812.782580,-592.164754,-72625.853210
290.228465,-3108.864956,-7994.224174,-73238.729609
290.231089,1332.370696,-1924.535449,-73391.948708
290.233713,4885.359217,-3404.947333,-72012.976812
290.236336,-4145.153275,-8290.306550,-72166.195912
290.238960,2960.823768,3849.070898,-72319.415011
290.241584,-4293.194464,-4293.194464,-72012.976812
290.244208,-2072.576638,-3404.947333,-74004.825107
290.246831,5033.400406,-1628.453072,-73698.386908
290.249455,3108.864956,-3997.112087,-73238.729609
290.252079,3552.988522,-1036.288319,-73238.729609
290.254703,-2368.659014,-3849.070898,-72166.195912
290.257326,-2368.659014,-1036.288319,-72012.976812
290.259946,-1184.329507,-7254.018232,-72166.195912
290.262566,4145.153275,2664.741391,-74004.825107
290.265187,4145.153275,2812.782580,-73545.167808
290.267807,8142.265362,3997.112087,-74004.825107
290.270427,12435.459826,4293.194464,-72932.291410
290.273047,5329.482782,-2220.617826,-72319.415011
290.275667,7550.100608,1628.453072,-71400.100414
290.278287,3108.864956,148.041188,-71706.538613
290.280907,1036.288319,-5921.647536,-72319.415011
290.283527,4441.235652,5773.606348,-72319.415011
290.286148,1184.329507,2072.576638,-73391.948708
290.288768,5477.523971,-2220.617826,-73851.606007
290.291388,5921.647536,2220.617826,-74004.825107
290.294008,444.123565,-5329.482782,-72779.072310
290.296628,12139.377449,-1480.411884,-72472.634111
290.299248,1480.411884,2220.617826,-71400.100414
290.301868,3404.947333,-5477.523971,-71246.881314
290.304488,11103.089130,8882.471304,-71859.757712
290.307108,-148.041188,-4589.276840,-73238.729609
290.309729,3552.988522,-3552.988522,-74770.920605
290.312349,9770.718434,4145.153275,-74004.825107
290.314969,4589.276840,-1776.494261,-72472.634111
290.317589,7994.224174,1036.288319,-71706.538613
290.320209,2812.782580,-1776.494261,-71400.100414
290.322829,4737.318029,740.205942,-72472.634111
290.325449,1036.288319,1924.535449,-73085.510509
290.328069,3552.988522,592.164754,-73391.948708
290.330690,9178.553681,2516.700203,-73391.948708
290.333310,7994.224174,740.205942,-72472.634111
290.335930,8882.471304,296.082377,-72319.415011
290.338550,7402.059420,-740.205942,-72779.072310
290.341170,4441.235652,1036.288319,-72779.072310
290.343790,2664.741391,-888.247130,-72625.853210
290.346410,2220.617826,148.041188,-72472.634111
290.349030,444.123565,1184.329507,-72012.976812
290.351650,-888.247130,-8142.265362,-72932.291410
290.354271,6957.935855,2368.659014,-74464.482406
290.356891,-2812.782580,-3404.947333,-74004.825107
290.359511,-592.164754,-5033.400406,-73698.386908
290.362131,-1480.411884,-3108.864956,-71859.757712
290.364747,-3997.112087,-2220.617826,-72012.976812
290.367362,1184.329507,-1184.329507,-72012.976812
290.369978,1776.494261,-1480.411884,-73238.729609
290.372594,2072.576638,-2960.823768,-73698.386908
290.375210,6957.935855,-444.123565,-73238.729609
290.377825,-1332.370696,-3701.029710,-72012.976812
290.380441,-592.164754,-4589.276840,-72625.853210
290.383057,2368.659014,-2072.576638,-72319.415011
290.385673,-1332.370696,-5625.565159,-72472.634111
290.388288,888.247130,4589.276840,-73545.167808
290.390904,-2072.576638,-6513.812290,-73085.510509
290.393520,-296.082377,-6809.894666,-73698.386908
290.396136,7994.224174,1036.288319,-73238.729609
290.398751,1924.535449,-1480.411884,-72472.634111
