#time,accel_x,accel_y,accel_z
1223.808218,2812.782580,-296.082377,-73085.510509
1223.810799,2664.741391,-444.123565,-73238.729609
1223.813381,2812.782580,-1184.329507,-73085.510509
1223.815963,2812.782580,-1036.288319,-73238.729609
1223.818544,2812.782580,148.041188,-73085.510509
1223.821126,2960.823768,-444.123565,-72625.853210
1223.823521,2812.782580,-1184.329507,-73085.510509
1223.825916,2960.823768,-1036.288319,-73238.729609
1223.828311,2812.782580,148.041188,-73545.167808
1223.830706,2664.741391,148.041188,-73238.729609
1223.833101,2812.782580,-1036.288319,-73238.729609
1223.835496,2516.700203,-592.164754,-73085.510509
1223.837891,2516.700203,-592.164754,-73238.729609
1223.840286,3108.864956,-592.164754,-73085.510509
1223.842681,2664.741391,-444.123565,-73238.729609
1223.845076,2368.659014,-592.164754,-72779.072310
1223.847471,2516.700203,-444.123565,-73238.729609
1223.849866,3108.864956,-1184.329507,-72779.072310
1223.852261,1332.370696,-19541.436869,-73238.729609
1223.854656,7550.100608,15544.324782,-73851.606007
1223.857051,-1480.411884,-12435.459826,-73698.386908
1223.859446,740.205942,-7846.182985,-74464.482406
1223.861841,4441.235652,9474.636058,-72012.976812
1223.864236,2812.782580,-11251.130318,-72932.291410
1223.866631,2664.741391,-3256.906145,-73238.729609
1223.869026,2664.741391,-5477.523971,-73238.729609
1223.871421,1480.411884,-3997.112087,-72779.072310
1223.873816,4737.318029,-1628.453072,-73238.729609
1223.876211,148.041188,444.123565,-73545.167808
1223.878606,2812.782580,-8142.265362,-73545.167808
1223.881001,1480.411884,-148.041188,-73545.167808
1223.883396,2220.617826,-3256.906145,-72932.291410
1223.885792,4293.194464,4737.318029,-73085.510509
1223.888187,2812.782580,7105.977043,-72625.853210
1223.890582,5181.441594,444.123565,-72779.072310
1223.892977,3997.112087,10658.965565,-74464.482406
1223.895372,1628.453072,-6957.935855,-73698.386908
1223.897767,5773.606348,4293.194464,-73851.606007
1223.900162,-1036.288319,-148.041188,-72472.634111
1223.902557,4293.194464,-8290.306550,-72166.195912
1223.904952,3701.029710,12287.418637,-73698.386908
1223.907347,4293.194464,7698.141797,-72319.415011
1223.909742,5921.647536,13767.830521,-74924.139704
1223.912137,-888.247130,-1924.535449,-74311.263306
1223.914532,-1184.329507,-6513.812290,-73698.386908
1223.916927,6661.853478,7402.059420,-72166.195912
1223.919380,5773.606348,5921.647536,-72012.976812
1223.921834,2220.617826,13619.789333,-74004.825107
1223.924287,2220.617826,-6513.812290,-74158.044206
1223.926741,5033.400406,-1184.329507,-72472.634111
1223.929194,1036.288319,3108.864956,-73851.606007
1223.931647,2368.659014,1036.288319,-72319.415011
1223.934101,3552.988522,4589.276840,-72625.853210
1223.936554,3404.947333,2220.617826,-73851.606007
1223.939008,2368.659014,1776.494261,-73851.606007
1223.941461,3256.906145,1036.288319,-73238.729609
1223.943915,5033.400406,9474.636058,-73238.729609
1223.946368,592.164754,592.164754,-72319.415011
